Year,Month,Employment,United States,U.S. Territories,Foreign Countries,Unspecified,Location - All,fracYear
2016,12,AF-DEPARTMENT OF THE AIR FORCE,167021,378,2781,232,170412,2017
2016,12,AG-DEPARTMENT OF AGRICULTURE,86571,667,164,58,87460,2017
2016,12,AR-DEPARTMENT OF THE ARMY,239607,1269,10157,NA,251035,2017
2016,12,CM-DEPARTMENT OF COMMERCE,46217,125,219,69,46630,2017
2016,12,DD-DEPARTMENT OF DEFENSE,99958,1256,10723,NA,111940,2017
2016,12,DJ-DEPARTMENT OF JUSTICE,117478,308,73,NA,117867,2017
2016,12,DL-DEPARTMENT OF LABOR,15797,37,NA,NA,15837,2017
2016,12,DN-DEPARTMENT OF ENERGY,15199,NA,18,NA,15217,2017
2016,12,ED-DEPARTMENT OF EDUCATION,4406,NA,NA,NA,4411,2017
2016,12,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,86520,208,286,NA,87020,2017
2016,12,HS-DEPARTMENT OF HOMELAND SECURITY,193973,710,15,104,194802,2017
2016,12,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,8054,50,NA,NA,8104,2017
2016,12,IN-DEPARTMENT OF THE INTERIOR,63715,335,NA,NA,64054,2017
2016,12,NV-DEPARTMENT OF THE NAVY,202151,1210,3885,NA,207246,2017
2016,12,ST-DEPARTMENT OF STATE,13075,12,48,NA,13138,2017
2016,12,TD-DEPARTMENT OF TRANSPORTATION,55032,302,23,151,55508,2017
2016,12,TR-DEPARTMENT OF THE TREASURY,93587,625,22,225,94459,2017
2016,12,VA-DEPARTMENT OF VETERANS AFFAIRS,371641,4417,12,27,376097,2017
2016,12,Cabinet Level Agencies,1880002,11913,28433,889,1921237,2017
2017,3,AF-DEPARTMENT OF THE AIR FORCE,166056,382,2761,237,169436,2017.25
2017,3,AG-DEPARTMENT OF AGRICULTURE,85939,667,162,61,86829,2017.25
2017,3,AR-DEPARTMENT OF THE ARMY,236330,1269,10057,NA,247658,2017.25
2017,3,CM-DEPARTMENT OF COMMERCE,46566,129,218,75,46988,2017.25
2017,3,DD-DEPARTMENT OF DEFENSE,98577,1221,10573,NA,110374,2017.25
2017,3,DJ-DEPARTMENT OF JUSTICE,116902,304,73,NA,117287,2017.25
2017,3,DL-DEPARTMENT OF LABOR,15577,38,NA,NA,15617,2017.25
2017,3,DN-DEPARTMENT OF ENERGY,14979,NA,19,NA,14998,2017.25
2017,3,ED-DEPARTMENT OF EDUCATION,4210,NA,NA,NA,4215,2017.25
2017,3,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,85780,204,289,NA,86279,2017.25
2017,3,HS-DEPARTMENT OF HOMELAND SECURITY,194032,717,16,99,194864,2017.25
2017,3,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,7948,44,NA,NA,7992,2017.25
2017,3,IN-DEPARTMENT OF THE INTERIOR,63860,327,NA,NA,64191,2017.25
2017,3,NV-DEPARTMENT OF THE NAVY,199827,1199,3894,NA,204920,2017.25
2017,3,ST-DEPARTMENT OF STATE,12769,12,49,NA,12833,2017.25
2017,3,TD-DEPARTMENT OF TRANSPORTATION,54743,297,24,153,55217,2017.25
2017,3,TR-DEPARTMENT OF THE TREASURY,98430,680,21,221,99352,2017.25
2017,3,VA-DEPARTMENT OF VETERANS AFFAIRS,373408,4360,12,25,377805,2017.25
2017,3,Cabinet Level Agencies,1875933,11854,28174,894,1916855,2017.25
2017,6,AF-DEPARTMENT OF THE AIR FORCE,165948,387,2664,236,169235,2017.5
2017,6,AG-DEPARTMENT OF AGRICULTURE,96790,649,168,78,97685,2017.5
2017,6,AR-DEPARTMENT OF THE ARMY,237617,1291,10098,NA,249008,2017.5
2017,6,CM-DEPARTMENT OF COMMERCE,47286,126,215,87,47714,2017.5
2017,6,DD-DEPARTMENT OF DEFENSE,98410,1214,5072,NA,104699,2017.5
2017,6,DJ-DEPARTMENT OF JUSTICE,116667,302,74,NA,117051,2017.5
2017,6,DL-DEPARTMENT OF LABOR,15306,37,NA,NA,15345,2017.5
2017,6,DN-DEPARTMENT OF ENERGY,14934,NA,20,NA,14954,2017.5
2017,6,ED-DEPARTMENT OF EDUCATION,4143,NA,NA,NA,4148,2017.5
2017,6,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,85504,204,278,NA,85989,2017.5
2017,6,HS-DEPARTMENT OF HOMELAND SECURITY,194820,718,15,97,195650,2017.5
2017,6,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,7854,44,NA,NA,7898,2017.5
2017,6,IN-DEPARTMENT OF THE INTERIOR,71730,326,NA,NA,72060,2017.5
2017,6,NV-DEPARTMENT OF THE NAVY,200755,1199,3861,NA,205815,2017.5
2017,6,ST-DEPARTMENT OF STATE,12571,12,45,NA,12631,2017.5
2017,6,TD-DEPARTMENT OF TRANSPORTATION,54696,299,23,152,55170,2017.5
2017,6,TR-DEPARTMENT OF THE TREASURY,96153,664,18,218,97053,2017.5
2017,6,VA-DEPARTMENT OF VETERANS AFFAIRS,373997,4330,13,24,378364,2017.5
2017,6,Cabinet Level Agencies,1895181,11806,22570,912,1930469,2017.5
2017,9,AF-DEPARTMENT OF THE AIR FORCE,164399,391,2532,237,167559,2017.75
2017,9,AG-DEPARTMENT OF AGRICULTURE,92513,638,173,77,93401,2017.75
2017,9,AR-DEPARTMENT OF THE ARMY,236732,1313,9838,NA,247884,2017.75
2017,9,CM-DEPARTMENT OF COMMERCE,47268,129,218,89,47704,2017.75
2017,9,DD-DEPARTMENT OF DEFENSE,98169,1189,10225,NA,109586,2017.75
2017,9,DJ-DEPARTMENT OF JUSTICE,115595,297,75,NA,115976,2017.75
2017,9,DL-DEPARTMENT OF LABOR,14977,36,NA,NA,15016,2017.75
2017,9,DN-DEPARTMENT OF ENERGY,14741,NA,21,NA,14762,2017.75
2017,9,ED-DEPARTMENT OF EDUCATION,4055,NA,NA,NA,4059,2017.75
2017,9,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,84334,201,283,NA,84822,2017.75
2017,9,HS-DEPARTMENT OF HOMELAND SECURITY,197504,781,17,97,198399,2017.75
2017,9,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,7784,43,NA,NA,7827,2017.75
2017,9,IN-DEPARTMENT OF THE INTERIOR,67949,320,NA,NA,68275,2017.75
2017,9,NV-DEPARTMENT OF THE NAVY,201009,1213,3849,NA,206071,2017.75
2017,9,ST-DEPARTMENT OF STATE,12240,12,45,NA,12301,2017.75
2017,9,TD-DEPARTMENT OF TRANSPORTATION,54280,299,22,147,54748,2017.75
2017,9,TR-DEPARTMENT OF THE TREASURY,86813,635,18,210,87676,2017.75
2017,9,VA-DEPARTMENT OF VETERANS AFFAIRS,377109,4306,13,29,381457,2017.75
2017,9,Cabinet Level Agencies,1877471,11807,27336,909,1917523,2017.75
2017,12,AF-DEPARTMENT OF THE AIR FORCE,165771,400,2548,233,168952,2018
2017,12,AG-DEPARTMENT OF AGRICULTURE,83515,635,171,71,84392,2018
2017,12,AR-DEPARTMENT OF THE ARMY,236992,1283,9859,NA,248134,2018
2017,12,CM-DEPARTMENT OF COMMERCE,46906,129,219,86,47340,2018
2017,12,DD-DEPARTMENT OF DEFENSE,98749,1183,10216,NA,110151,2018
2017,12,DJ-DEPARTMENT OF JUSTICE,115030,290,78,NA,115407,2018
2017,12,DL-DEPARTMENT OF LABOR,14795,35,NA,NA,14833,2018
2017,12,DN-DEPARTMENT OF ENERGY,14656,NA,21,NA,14677,2018
2017,12,ED-DEPARTMENT OF EDUCATION,4019,NA,NA,NA,4023,2018
2017,12,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,84009,205,291,NA,84506,2018
2017,12,HS-DEPARTMENT OF HOMELAND SECURITY,200371,2074,18,96,202559,2018
2017,12,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,7756,42,NA,NA,7798,2018
2017,12,IN-DEPARTMENT OF THE INTERIOR,61917,309,NA,NA,62233,2018
2017,12,NV-DEPARTMENT OF THE NAVY,201610,1220,3813,NA,206643,2018
2017,12,ST-DEPARTMENT OF STATE,12033,12,51,NA,12099,2018
2017,12,TD-DEPARTMENT OF TRANSPORTATION,54262,297,23,152,54734,2018
2017,12,TR-DEPARTMENT OF THE TREASURY,86362,577,20,209,87168,2018
2017,12,VA-DEPARTMENT OF VETERANS AFFAIRS,378847,4280,13,32,383172,2018
2017,12,Cabinet Level Agencies,1867600,12975,27348,898,1908821,2018
2018,3,AF-DEPARTMENT OF THE AIR FORCE,164778,410,2563,229,167980,2018.25
2018,3,AG-DEPARTMENT OF AGRICULTURE,82304,601,175,68,83148,2018.25
2018,3,AR-DEPARTMENT OF THE ARMY,236267,1302,9824,NA,247393,2018.25
2018,3,CM-DEPARTMENT OF COMMERCE,45455,128,222,76,45881,2018.25
2018,3,DD-DEPARTMENT OF DEFENSE,98373,1187,10514,NA,110076,2018.25
2018,3,DJ-DEPARTMENT OF JUSTICE,114026,286,83,NA,114406,2018.25
2018,3,DL-DEPARTMENT OF LABOR,14492,34,NA,NA,14530,2018.25
2018,3,DN-DEPARTMENT OF ENERGY,14351,NA,23,NA,14374,2018.25
2018,3,ED-DEPARTMENT OF EDUCATION,3836,NA,NA,NA,3840,2018.25
2018,3,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,82855,195,287,NA,83338,2018.25
2018,3,HS-DEPARTMENT OF HOMELAND SECURITY,199432,2506,17,96,202051,2018.25
2018,3,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,7578,42,NA,NA,7620,2018.25
2018,3,IN-DEPARTMENT OF THE INTERIOR,61019,301,NA,NA,61328,2018.25
2018,3,NV-DEPARTMENT OF THE NAVY,200825,1219,3887,NA,205931,2018.25
2018,3,ST-DEPARTMENT OF STATE,11850,12,55,NA,11919,2018.25
2018,3,TD-DEPARTMENT OF TRANSPORTATION,53604,299,23,153,54079,2018.25
2018,3,TR-DEPARTMENT OF THE TREASURY,94677,647,21,220,95565,2018.25
2018,3,VA-DEPARTMENT OF VETERANS AFFAIRS,378319,4228,14,41,382602,2018.25
2018,3,Cabinet Level Agencies,1864041,13401,27716,903,1906061,2018.25
